rank,business_name,legal_name_on_license,tier,research_batch,fit_percent,cslb_license,license_status,entity,classifications,issue_date,expire_date,bond_carrier,bond_amount,bond_cancellation,workers_comp,cslb_address,cslb_phone,published_phone,sf_plumbing_permits,website,snake_shower,tub_overflow_access,non_destructive,prewar_galvanized,camera_inspection,weekend_emergency,flag_count,critical_flags,cslb_source_url,raw_capture
94,Genteel Plumbing,THE GENTEEL PLUMBERS INC,viable,,0,1025814,active,Corporation,C36 - PLUMBING ; B - GENERAL BUILDING,04/14/2017,04/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"1181 REVERE AVE / SAN FRANCISCO, CA 94124",(833) 436-8335,(833) 436-8335,60,https://www.genteelplumbing.com/,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1025814,data/raw/cslb-1025814.txt
95,Pipeline Plumbing,PIPELINE PLUMBING,viable,,0,963418,active,Sole Ownership,C36 - PLUMBING,07/19/2011,07/31/2027,PHILADELPHIA INDEMNITY INSURANCE COMPANY,"$25,000",,exempt,"60234 PUEBLO TRAIL / JOSHUA TREE, CA 92252",(415) 314-1336,(415) 314-1336,58,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=963418,data/raw/cslb-963418.txt
96,24/7 Rooter & Plumbing Services,24 / 7 ROOTER AND PLUMBING SERVICES INC,viable,,0,954813,active,Corporation,C36 - PLUMBING ; C-61 / D56 - TRENCHING ONLY ; A - GENERAL ENGINEERING,11/18/2010,11/30/2026,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"dba A & R PLUMBING / 1070 QUESADA AVE / SAN FRANCISCO, CA 94124",(415) 586-6851,(415) 586-6851,,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=954813,data/raw/cslb-954813.txt
97,Bill Bragg Plumbing,BILL BRAGG PLUMBING,viable,2026-09-04-expansion-50-b3,0,440780,active,Sole Ownership,C36 - PLUMBING,05/31/1983,05/31/2027,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,insured,"620A GUERRERO ST / SAN FRANCISCO, CA 94110",(415) 894-7231,(415) 894-7231,,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=440780,data/raw/cslb-440780.txt
98,Garcia Plumbing and Mechanical Company Inc,GARCIA PLUMBING AND MECHANICAL COMPANY INC,viable,2026-09-04-expansion-50-b3,0,782787,active,Corporation,C36 - PLUMBING,08/10/2000,02/28/2027,NORTH RIVER INSURANCE COMPANY (THE),"$25,000",,insured,"237 GAMBIER STREET / SAN FRANCISCO, CA 94134",(415) 333-1737,(415) 333-1737,,,unknown,unknown,unknown,advertised,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=782787,data/raw/cslb-782787.txt
99,Larratt Bros Plumbing Inc,LARRATT BROS PLUMBING INC,viable,2026-09-04-expansion-50-b3,0,596026,active,Corporation,C36 - PLUMBING,06/13/1990,07/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"88 ELMIRA ST UNIT A / SAN FRANCISCO, CA 94124",(650) 873-5794,(650) 873-5794,,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=596026,data/raw/cslb-596026.txt
100,Lee Plumbing Co,LEE PLUMBING CO,viable,2026-09-04-expansion-50-b3,0,586693,active,Sole Ownership,C36 - PLUMBING,01/24/1990,04/30/2027,WESTERN SURETY COMPANY,"$25,000",,exempt,"2407 21ST AVENUE / SAN FRANCISCO, CA 94116",(415) 681-9323,(415) 681-9323,,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=586693,data/raw/cslb-586693.txt
101,Lev's Plumbing Co,LEV'S PLUMBING CO,viable,2026-09-04-expansion-50-b3,0,421774,active,Sole Ownership,C16 - FIRE PROTECTION ; C36 - PLUMBING,04/23/1982,04/30/2028,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,exempt,"74 MIRALOMA DRIVE / SAN FRANCISCO, CA 94127",(415) 566-6910,(415) 566-6910,,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=421774,data/raw/cslb-421774.txt
102,Neighborhood Plumbing,NEIGHBORHOOD PLUMBING,viable,2026-09-04-expansion-50-b3,0,949094,active,Sole Ownership,C36 - PLUMBING,06/22/2010,06/30/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,exempt,"2049 OFARRELL ST APT 4 / SAN FRANCISCO, CA 94115",(415) 368-5668,(415) 368-5668,,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=949094,data/raw/cslb-949094.txt
103,Riff Raff Plumbing,RIFF RAFF PLUMBING,viable,2026-09-04-expansion-50-b3,0,932219,active,Sole Ownership,C36 - PLUMBING,05/04/2009,05/31/2027,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,exempt,"446 36 ST / OAKLAND, CA 94609",(415) 706-6112,(415) 706-6112,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=932219,data/raw/cslb-932219.txt
104,In & Out Plumbing & Construction,IN & OUT PLUMBING AND CONSTRUCTION INC,conditional,2026-09-04-expansion-20,33,878184,active,Corporation,A - GENERAL ENGINEERING; B - GENERAL BUILDING; C36 - PLUMBING,05/22/2006,11/30/2026,MERCHANTS BONDING COMPANY (MUTUAL),"$25,000",,insured,"184 HARBOR WAY / SOUTH SAN FRANCISCO, CA 94080",(650) 589-4855,(650) 589-4855,,https://www.inandoutplumbing.com/,advertised,advertised,unknown,unknown,unknown,unknown,3,CSLB complaint disclosure exists,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=878184,data/raw/cslb-878184.txt
105,Red Wrench Plumbing,RED WRENCH PLUMBING INC,conditional,,17,966458,active,Corporation,C36 - PLUMBING,10/07/2011,10/31/2027,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,insured,"622 PRECITA AVENUE / SAN FRANCISCO, CA 94110",(415) 424-0799,(415) 424-0799,125,https://www.redwrenchplumbing.com/,no-evidence,advertised,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=966458,data/raw/cslb-966458.txt
106,Hydro Plumbing & Rooter Inc.,HYDRO PLUMBING & ROOTER INC,conditional,2026-09-04-expansion-20,17,922974,active,Corporation,C36 - PLUMBING,09/30/2008,07/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"3450 3RD ST STE 3E / SAN FRANCISCO, CA 94124",(415) 320-7660,(415) 320-7660,5,https://hydroplumbingrooter.com/,advertised,no-evidence,unknown,unknown,unknown,unknown,3,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=922974,data/raw/cslb-922974.txt
107,Infinity Plumbing & Rooter,INFINITY PLUMBING & ROOTER INC,conditional,2026-09-04-expansion-20,17,1047052,active,Corporation,C36 - PLUMBING,11/20/2018,10/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"945 TARAVAL STREET #358 / SAN FRANCISCO, CA 94116",(415) 730-3182,(415) 730-3182,,https://sanfranciscoplumbingrepair.com/,no-evidence,advertised,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1047052,data/raw/cslb-1047052.txt
108,Jin's Plumbing Inc,JIN'S PLUMBING INC,conditional,2026-09-04-expansion-50-b3,17,877300,active,Corporation,C36 - PLUMBING,05/04/2006,07/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"832 GRAFTON AVE / SAN FRANCISCO, CA 94112",(415) 307-0186,(415) 307-0186,,,advertised,unknown,unknown,unknown,advertised,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=877300,data/raw/cslb-877300.txt
109,Smelly Mel's Plumbing,SMELLY MEL'S PLUMBING INC,conditional,2026-09-04-expansion-20,17,786183,active,Corporation,A - GENERAL ENGINEERING; C36 - PLUMBING; B - GENERAL BUILDING; C16 - FIRE PROTECTION,10/20/2000,10/31/2026,SWISS RE CORPORATE SOLUTIONS AMERICA INSURANCE CORPORATION,"$25,000",,insured,"300 SHAW ROAD / SOUTH SAN FRANCISCO, CA 94080",(415) 758-6237,(415) 758-6237,,https://www.smellymelsplumbing.com/,advertised,no-evidence,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=786183,data/raw/cslb-786183.txt
110,Water Heaters Only Inc,WATER HEATERS ONLY INC,conditional,2026-09-04-expansion-50-b4,0,374573,active,Corporation,C36 - PLUMBING,05/02/1979,05/31/2027,TRAVELERS CASUALTY AND SURETY COMPANY OF AMERICA,"$25,000",,insured,"970 E MAIN STREET 200 / GRASS VALLEY, CA 95945",(530) 274-3001,(530) 274-3001,3033,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=374573,data/raw/cslb-374573.txt
111,Fast Home Services LLC,FAST HOME SERVICES LLC,conditional,2026-09-04-expansion-50-b4,0,987398,active,Ltd Liability,"C36 - PLUMBING; C10 - ELECTRICAL; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING",10/02/2013,10/31/2027,HARCO NATIONAL INSURANCE COMPANY,"$25,000",,insured,"16120 REDMOND-WOODINVILLE RD / NE STE 15 / WOODINVILLE, WA 98072",(425) 636-7020,(425) 636-7020,1763,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=987398,data/raw/cslb-987398.txt
112,Madden Plumbing LLC,MADDEN PLUMBING LLC,conditional,2026-09-04-expansion-50,0,825418,active,Ltd Liability,C36 - PLUMBING ; C16 - FIRE PROTECTION,10/03/2003,08/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"1228 FOLSOM STREET SUITE 101 / SAN FRANCISCO, CA 94103",(415) 923-8510,(415) 923-8510,1333,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=825418,data/raw/cslb-825418.txt
113,Demakas Plumbing & Heating,DEMAKAS PLUMBING & HEATING INC,conditional,2026-09-04-expansion-50,0,349523,active,Corporation,"C31 - CONSTRUCTION ZONE TRAFFIC CONTROL ; C36 - PLUMBING ; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING ; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING ; C-61 / D16 - HARDWARE, LOCKS AND SAFES ; C16 - FIRE PROTECTION",01/13/1978,11/30/2026,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"2370 OAKDALE AVENUE / SAN FRANCISCO, CA 94124",(415) 282-2121,(415) 282-2121,1192,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=349523,data/raw/cslb-349523.txt
114,ARS American Residential Services of California Inc,ARS AMERICAN RESIDENTIAL SERVICES OF CALIFORNIA INC,conditional,2026-09-04-expansion-50-b4,0,765155,active,Corporation,C36 - PLUMBING; C42 - SANITATION SYSTEM,06/30/1999,07/31/2028,TRAVELERS CASUALTY AND SURETY COMPANY OF AMERICA,"$25,000",,insured,"965 RIDGE LAKE BLVD STE 201 / MEMPHIS, TN 38120",(901) 271-9700,(901) 271-9700,1098,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=765155,data/raw/cslb-765155.txt
115,North South Plumbing Inc.,NORTH SOUTH PLUMBING INC,conditional,2026-09-04-expansion-50,0,895742,active,Corporation,C36 - PLUMBING,05/03/2007,02/28/2027,MERCHANTS BONDING COMPANY (MUTUAL),"$25,000",,insured,"2020 A 1 OCEAN AVE / SAN FRANCISCO, CA 94127",(415) 795-3272,(415) 795-3272,921,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=895742,data/raw/cslb-895742.txt
116,K M C Design Group Inc,K M C DESIGN GROUP INC,conditional,2026-09-04-expansion-50-b5,0,901402,active,Corporation,C36 - PLUMBING,08/03/2007,08/31/2027,WESTERN SURETY COMPANY,"$25,000",,insured,"DBA K M C PLUMBING CO / 32 CAMBRIDGE COURT / DANVILLE, CA 94526",(925) 382-6764,(925) 382-6764,900,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=901402,data/raw/cslb-901402.txt
117,Fault Line Plumbing Inc.,FAULT LINE PLUMBING INC,conditional,2026-09-04-expansion-50,0,737079,active,Corporation,"C36 - PLUMBING ; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING ; C16 - FIRE PROTECTION ; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING",06/12/1997,12/31/2026,WESTERN SURETY COMPANY,"$25,000",,insured,"7640 NATIONAL DRIVE / LIVERMORE, CA 94550",(925) 443-6450,(925) 443-6450,826,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=737079,data/raw/cslb-737079.txt
118,Feerick Plumbing Inc.,FEERICK PLUMBING INC,conditional,2026-09-04-expansion-50,0,751576,active,Corporation,C36 - PLUMBING,07/09/1998,11/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"1527 FULTON STREET / SAN FRANCISCO, CA 94117",(415) 775-9065,(415) 775-9065,731,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=751576,data/raw/cslb-751576.txt
119,T and H Plumbing Co Inc.,T AND H PLUMBING CO INC,conditional,2026-09-04-expansion-50,0,747827,active,Corporation,C36 - PLUMBING,04/07/1998,04/30/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"1555 YOSEMITE AVE #48 / SAN FRANCISCO, CA 94124",(415) 716-0832,(415) 716-0832,695,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=747827,data/raw/cslb-747827.txt
120,San Yi Plumbing,SAN YI PLUMBING,conditional,2026-09-04-expansion-50,0,705333,active,Sole Ownership,C36 - PLUMBING,04/19/1995,04/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"36 WESTFIELD AVENUE / DALY CITY, CA 94105",(650) 799-0634,(650) 799-0634,604,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=705333,data/raw/cslb-705333.txt
121,P P Plumbing (Jim Parr),JIM PARR,conditional,2026-09-04-expansion-50,0,529553,active,Sole Ownership,C16 - FIRE PROTECTION ; C36 - PLUMBING,05/06/1988,05/31/2028,MERCHANTS BONDING COMPANY (MUTUAL),"$25,000",,insured,"dba P P PLUMBING / 141 ROSS WAY / SAN BRUNO, CA 94066",(415) 816-3893,(415) 816-3893,595,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=529553,data/raw/cslb-529553.txt
122,Andrew Lee,ANDREW LEE,conditional,2026-09-04-expansion-50,0,882242,active,Sole Ownership,C36 - PLUMBING,08/08/2006,08/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"5945 WENK AVENUE / RICHMOND, CA 94804",(415) 531-3131,(415) 531-3131,548,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=882242,data/raw/cslb-882242.txt
123,J B Lind Plumbing Company,J B LIND PLUMBING COMPANY,conditional,2026-09-04-expansion-50,0,591929,active,Sole Ownership,C36 - PLUMBING,04/11/1990,04/30/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"P O BOX 1626 / GLEN ELLEN, CA 95442",(208) 408-9280,(208) 408-9280,495,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=591929,data/raw/cslb-591929.txt
124,Harris Water Heaters Inc,HARRIS WATER HEATERS INC,conditional,2026-09-04-expansion-50-b4,0,1026214,active,Corporation,C36 - PLUMBING,04/27/2017,11/30/2026,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"6270 CROW CANYON RD / CASTRO VALLEY, CA 94552",(877) 946-8426,(877) 946-8426,465,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1026214,data/raw/cslb-1026214.txt
125,Backflow Prevention Specialists Inc,BACKFLOW PREVENTION SPECIALISTS INC,conditional,2026-09-04-expansion-50-b4,0,427328,active,Corporation,"C36 - PLUMBING; B - GENERAL BUILDING; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING; C16 - FIRE PROTECTION; C43 - SHEET METAL",09/07/1982,09/30/2026,OHIO CASUALTY INSURANCE COMPANY (THE),"$25,000",,insured,"1131 ELKO DRIVE / SUNNYVALE, CA 94089",(408) 734-3569,(408) 734-3569,395,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=427328,data/raw/cslb-427328.txt
126,Castleworks Home Services Company,CASTLEWORKS HOME SERVICES COMPANY,conditional,2026-09-04-expansion-50-b4,0,1066584,active,Corporation,C36 - PLUMBING,07/01/2020,07/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"28358 CONSTELLATION RD STE 698 / VALENCIA, CA 91355",(818) 481-7132,(818) 481-7132,326,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1066584,data/raw/cslb-1066584.txt
127,Real Plumbing and Heating Inc,REAL PLUMBING AND HEATING INC,conditional,2026-09-04-expansion-50-b4,0,838680,active,Corporation,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING; C36 - PLUMBING",05/20/2004,08/31/2028,MERCHANTS BONDING COMPANY (MUTUAL),"$25,000",,insured,"P O BOX 1922 / CLEARLAKE OAKS, CA 95423",(415) 282-5599,(415) 282-5599,318,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=838680,data/raw/cslb-838680.txt
128,Ajax Plumbing,AJAX PLUMBING,conditional,2026-09-04-expansion-50-b4,0,745896,active,Partnership,"C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING; C16 - FIRE PROTECTION; C36 - PLUMBING",02/13/1998,02/29/2028,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,exempt,"1105 BERKSHIRE DR / EL DORADO HILLS, CA 95762",(415) 601-6605,(415) 601-6605,285,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=745896,data/raw/cslb-745896.txt
129,Wills Plumbing,WILLS PLUMBING,conditional,2026-09-04-expansion-50-b4,0,532819,active,Sole Ownership,C36 - PLUMBING,06/16/1988,08/31/2028,OHIO CASUALTY INSURANCE COMPANY (THE),"$25,000",,insured,"1811 WEST EUCLID AVENUE / STOCKTON, CA 95204",(209) 992-8126,(209) 992-8126,267,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=532819,data/raw/cslb-532819.txt
130,Precision Rooter & Drain,PRECISION ROOTER & DRAIN,conditional,,0,961218,active,Sole Ownership,C36 - PLUMBING,05/19/2011,05/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,exempt,"945 TARAVAL ST / UNIT 1214 / SAN FRANCISCO, CA 94116",(415) 724-1824,(415) 724-1824,18,,unknown,no-evidence,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=961218,data/raw/cslb-961218.txt
131,A B Plumbing,A B PLUMBING,conditional,2026-09-04-expansion-50-b3,0,876212,active,Sole Ownership,C36 - PLUMBING,04/14/2006,04/30/2028,JET INSURANCE COMPANY,"$25,000",,exempt,"12909 SKYLINE BLVD / OAKLAND, CA 94619",(415) 333-5566,(415) 333-5566,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=876212,data/raw/cslb-876212.txt
132,Allen Lee Plumbing,T T LEE CORP,conditional,2026-09-04-expansion-50-b3,0,751710,active,Corporation,C36 - PLUMBING,07/14/1998,07/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"DBA ALLEN LEE PLUMBING / 1260 ROBLE ROAD / MILLBRAE, CA 94030",(415) 279-2878,(415) 279-2878,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=751710,data/raw/cslb-751710.txt
133,Amores Plumbing Company,AMORES PLUMBING COMPANY,conditional,2026-09-04-expansion-50-b3,0,562240,active,Corporation,C36 - PLUMBING ; C16 - FIRE PROTECTION,03/27/1989,08/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"111 SHELTERWOOD LN / DANVILLE, CA 94506",(415) 823-4432,(415) 823-4432,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=562240,data/raw/cslb-562240.txt
134,C & H Plumbing Co,C & H PLUMBING CO,conditional,2026-09-04-expansion-50-b3,0,887869,active,Sole Ownership,C36 - PLUMBING,12/02/2006,12/31/2026,WESTERN SURETY COMPANY,"$25,000",,exempt,"39 1ST AVE / DALY CITY, CA 94014",(510) 388-8126,(510) 388-8126,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=887869,data/raw/cslb-887869.txt
135,Cary Wing Plumbing & Fire Protection Inc,CARY WING PLUMBING & FIRE PROTECTION INC,conditional,2026-09-04-expansion-50-b3,0,815871,active,Corporation,"C16 - FIRE PROTECTION ; C36 - PLUMBING ; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING ; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING",12/13/2002,10/31/2027,NORTH RIVER INSURANCE COMPANY (THE),"$25,000",,insured,"11 N HUMBOLDT ST / SAN MATEO, CA 94401",(650) 619-4150,(650) 619-4150,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=815871,data/raw/cslb-815871.txt
136,Celso's Plumbing,CELSO'S PLUMBING A PARTNERSHIP,conditional,2026-09-04-expansion-50-b3,0,972573,active,Partnership,C36 - PLUMBING,05/02/2012,05/31/2028,WESTERN SURETY COMPANY,"$25,000",,exempt,"427 SILVER AVENUE / SAN FRANCISCO, CA 94112",(415) 240-2024,(415) 240-2024,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=972573,data/raw/cslb-972573.txt
137,Chris' Plumbing Inc,CHRIS' PLUMBING INC,conditional,2026-09-04-expansion-50-b3,0,795046,active,Corporation,"C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING ; C16 - FIRE PROTECTION ; C36 - PLUMBING",05/14/2001,05/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"1336 WEST WINTON AVENUE / HAYWARD, CA 94545",(510) 346-8402,(510) 346-8402,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=795046,data/raw/cslb-795046.txt
138,Chuck Voutselas Plumbing LLC,CHUCK VOUTSELAS PLUMBING LLC,conditional,2026-09-04-expansion-50-b3,0,323631,active,Ltd Liability,B - GENERAL BUILDING ; C16 - FIRE PROTECTION ; C36 - PLUMBING,08/10/1976,11/30/2027,NORTH RIVER INSURANCE COMPANY (THE),"$25,000",,insured,"1732 INDIAN VALLEY RD / NOVATO, CA 94947",(415) 309-6603,(415) 309-6603,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=323631,data/raw/cslb-323631.txt
139,City Front Plumbing Inc,CITY FRONT PLUMBING INC,conditional,2026-09-04-expansion-50-b3,0,443156,active,Corporation,C36 - PLUMBING,07/19/1983,11/30/2027,MERCHANTS BONDING COMPANY (MUTUAL),"$25,000",,insured,"50 TIBURON STREET UNIT 25 / SAN RAFAEL, CA 94901",(415) 454-6737,(415) 454-6737,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=443156,data/raw/cslb-443156.txt
140,City Preferred Plumbing Inc,CITY PREFERRED PLUMBING INC,conditional,2026-09-04-expansion-50-b3,0,1027203,active,Corporation,C36 - PLUMBING,05/24/2017,08/31/2027,NATIONWIDE MUTUAL INSURANCE COMPANY,"$25,000",,insured,"dba CITY PREFERRED PLUMBING / 1 EMBARCADERO CENTER STE 1200 / SAN FRANCISCO, CA 94111",(415) 306-0866,(415) 306-0866,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1027203,data/raw/cslb-1027203.txt
